EPS的绩效情况,考核期,决定,投资资本收益率(ROIC)和EPS的绩效情况都按照表格来确定；·若在这个考核期结束时
业绩单位,业绩股票,决定,第五十条　业绩单位所确定的现金额等于业绩股票授予日的股票价格与授予数量的乘积
个人评估,未来职业,决定,职业策划是指组织在员工进行个人评估和确定未来职业发展策略时给予他们有效的援助
为基础的薪酬体系,员工的价值,决定,便得到以能力为基础的薪酬体系；如果以业绩产生的过程即工作的完成为主来确定员工的价值
人力资源专业人员,培训需求的能力,决定,（1）某企业人力资源部为了提高集团各下属分子公司人力资源专业人员确定培训需求的能力
人力资源制度,人力资源管理,决定,3.人力资源制度是指组织为特定目的而确定的人力资源管理原则、规范、条件、权利义务关系的综合
人力资源开发人员,培训,决定,人力资源开发人员就可以确定哪些是需要弥补的作业缺陷以及受训者在培训结束时应该达到的作业水平。
人力资源的配置,职位,决定,工作分析在人力资源的配置甄选中的作用是确定胜任某一职位所需知识、技术、能力和其他的特征。
人力资源的配置,能力,决定,工作分析在人力资源的配置甄选中的作用是确定胜任某一职位所需知识、技术、能力和其他的特征。
任职资格,工作规范,决定,(2)任职资格的确定与工作规范；
企业员工,属于企业的通用胜任力,决定,企业需要视该胜任力对于企业员工要求的普遍性来确定该胜任力属于企业的通用胜任力还是专业胜任力。
企业战略,相应的人力资源管理,决定,而按照企业战略确定的宗旨和方针设计和实施相应的人力资源管理
企业战略的影响,企业员工的类型,决定,而这各个方面的确定都要受到企业战略的影响；(1)战略决定企业员工的类型、规模和数量结构
企业的管理层次,管理层次,决定,确定企业的管理层次；再进一步确定各管理层次应设置的部门（如职能处室）；最后
企业的组织模式,战略,决定,(2)企业的KPI指标体系——企业的组织模式；在确定了企业以战略为导向的KPI指标体系之后
企业的财力,市场,决定,企业的薪酬标准在市场上应该处于一个什么位置要视企业的财力、所需要人才的可获得性等具体条件而定
佣金制,销售人员的报酬,决定,佣金制是直接按销售额的一定比例确定销售人员的报酬
公司能力,战略能力,决定,《公司能力分析：确定战略能力》
公司领导,人力资源规划,决定,公司领导可以用这种方法来确定和动员实现人力资源规划所需要的资源。
养老保险面,经济发展水平,决定,至少有以下几点是直接影响养老保险面的确定的：经济发展水平
内部价值观,合作与竞争等内部价值观,决定,这些内部价值观如平等与不平等、确定与不确定、合作与竞争等内部价值观以及对应的薪酬设计都得到考虑
内部价值观,对应的薪酬设计,决定,这些内部价值观如平等与不平等、确定与不确定、合作与竞争等内部价值观以及对应的薪酬设计都得到考虑
分类的培训课程体系,培训目标,决定,同时它还为企业设计分层分类的培训课程体系以及确定课程的培训目标提供了基本思路
