劳动者的知识存量,人力资本,未知,人力资本中最重要的组成部分是劳动者的知识存量和技能存量
《劳动合同法》相关条款,工作说明书,未知,本节综合工作说明书构成部分和《劳动合同法》相关条款
分层分类能力模型的开发,界定企业,未知,分层分类能力模型的开发主要包括界定企业各层各类人员所通用的核心能力
O*NET的内容模型,多的量表,未知,另一个质疑是O*NET的内容模型包含过多的量表
人力资源管理系统,人力资源管理措施,未知,需要开展哪些人力资源管理措施；⑦描述了构成人力资源管理系统的内容
人力资源,甄选过程,未知,人力资源获取的一般操作流程主要包括四个环节：定义需求、选择招募途径、实施甄选过程、试用考评。
学历结构,员工,未知,学历结构是指按照不同学历划分的员工构成
变量,学历,未知,协变量包括年龄、性别、学历以及其他与研究相关的人口统计变量。
人员比率,专业人员,未知,人员比率包括管理、文秘、专业人员和从事间接和直接劳动的雇员等的比率
工伤保险基金的其他资金,工伤保险基金的利息,未知,工伤保险基金由用人单位缴纳的工伤保险费、工伤保险基金的利息和依法纳入工伤保险基金的其他资金构成。
个性化的胜任力特征要求,胜任力模型,未知,其个性化的胜任力特征要求则不包含在该胜任力模型中。
基本养老保险,我国的养老保险,未知,我国的养老保险由三个部分组成：第一部分是基本养老保险
劳动者的工资,我国法律规定,未知,由用人单位支付给劳动者的工资；主要包括：(1)履行国家和社会义务期间的工资；我国法律规定
劳动合同,试用期,未知,劳动合同中包含试用期的内容。
实施计划,总任务,未知,实施计划主要包括以下内容：一是将企业总目标、总任务作时间上的分解
人员比率,直接劳动,未知,人员比率包括管理、文秘、专业人员和从事间接和直接劳动的雇员等的比率
培训的成本,受训员,未知,培训的成本包括培训人员和受训员的薪酬、培训部门的管理费和一般管理费等。
导向评估法,为基础的绩效考核,未知,结果导向评估法主要包括：以个人绩效合约为基础的绩效考核、产量衡量法和目标管理法。
保障范围,低保条件,未知,在较短时间内将大量符合城市低保条件的贫困人员纳入了保障范围。
工作职责的定义,职责,未知,工作职责的定义中常常包括这些职责所对应的结果和完成程度的定义
工作小组,人力资源部门的大力支持,未知,共同设计职业管理系统；这个工作小组包括高层经理人员（得到了人力资源部门的大力支持）；另外
技术变革,工作流程,未知,技术变革包括对工作流程、方法以及所用设备的调整。
实施计划,企业总目标,未知,实施计划主要包括以下内容：一是将企业总目标、总任务作时间上的分解
培训的效益,培训工作,未知,培训的效益包括培训工作给企业带来的经济效益和培训的社会效益。
失业保险,奖金,未知,养老保险、医疗保险、失业保险等都是以工资（包括基本工资和各种形式的奖金
外在的环境限制条件,经济问题,未知,外在的环境限制条件包括组织面对的法律、社会、政治、经济问题。
员工,组织员工,未知,协助员工平衡工作与生活)、员工关系管理培训(包括组织员工进行人际交往
工伤保险基金的其他资金,缴纳的工伤保险费,未知,工伤保险基金由用人单位缴纳的工伤保险费、工伤保险基金的利息和依法纳入工伤保险基金的其他资金构成。
劳动力资源,劳动年龄,未知,劳动力资源不包括在押犯人、在劳动年龄内丧失劳动能力的人员
心理学研究,能力,未知,能力构成因素的研究是心理学研究的重要问题
工作标准,行为指标,未知,行为指标由与纳入考评的改进KPI指标密切相关的一组或若干组行为要项及工作标准组成
奖金,佣金,未知,混合计划（基薪+奖金+佣金）就是指构成成分包括了基本薪、奖金和佣金三者的支付计划。
主管人事政策手册,一线管理人员,未知,《花旗银行主管人事政策手册》中包含了大约50项对一线管理人员提出具体要求的人事政策。
基本能力,能力,未知,基本能力和综合能力也包括从事多种工作活动的能力
任务清单,分析者,未知,任务清单中还应包含有关分析者的任职资格信息
工作职位,任务,未知,“装载”是指将某种任务和要求纳入工作职位的结构中。
工资结构,职位等级,未知,工资结构包括针对每一职位或者职位等级的工资范围
军人的福利事业,收养事业等内容,未知,面向军人的福利事业包括军人休养事业、疗养事业、精神病收养事业、孤老收养事业等内容。
企业价值,货币资本等同的要素,未知,其根本理念是经营层将人力资本作为一种与货币资本等同的要素纳入企业价值的范畴
企业社会责任的内容,企业文化,未知,企业文化的构成内容本身还包括了企业社会责任的内容
培训评估所,软性数据,未知,通常培训评估所需要的数据包括硬性数据和软性数据。
企业层次的培训,新员工,未知,1.企业层次的培训：包括新员工进入角色培训和企业文化培训两个层次
到绩效管理的范畴,企业绩效,未知,为改善企业绩效而进行的管理活动都可以纳入到绩效管理的范畴之内。
市场,总体计划,未知,组织年度总体计划中各组成部分(生产、市场、人力资源、财务、研发等)是完全兼容的
劳动力组织,决策过程,未知,包括劳动力组织与划分和动态环境相互作用及更为复杂的决策过程。
信息类,分配者,未知,信息类包括发言人、联系人和监控者；决策类包括领导者、企业家、分配者。
团队领导,团队绩效,未知,影响团队绩效的团队整体特征有成员构成、团队目标、团队领导、集体效能感。
周边绩效,员工的工作说明书,未知,周边绩效不包含在员工的工作说明书中
招聘成本,适应性培训,未知,招聘成本包括在招募和录取过程中招募、选拔、录用、安置以及适应性培训的成本。
劳动者的工资,社会义务,未知,由用人单位支付给劳动者的工资；主要包括：(1)履行国家和社会义务期间的工资；我国法律规定
培训的内容,薪酬,未知,培训的内容应包括公司的保障制度、政策、安全法规、工作时间、薪酬和考核制度等激励机制和压力机制
列出的任务,工作任务,未知,所列出的任务应能覆盖工作所包括的85%以上的工作任务
员工,胜任力标准,未知,胜任力标准即可构成一组胜任力模型；为帮助管理者开发他们的员工
外在薪酬,薪酬的定义,未知,外在薪酬则包括货币奖励和非货币奖励；这种对薪酬的定义
多方法工作设计问卷,动机,未知,他的多方法工作设计问卷中包括了以下四类描述项：机械的、动机的、认知的以及生物的。
战略导向,人力资源开发部门,未知,战略导向包括为人力资源开发部门树立明确的目标
企业家道德价值观,企业家,未知,企业家道德价值观的根本问题包括两个方面：一是企业家个体利益与群体利益的关系问题
处理员工,团队满意度,未知,如何处理员工的关系等；产出因素主要包括效能衡量和团队满意度
团队目标,团队绩效,未知,影响团队绩效的团队整体特征有成员构成、团队目标、团队领导、集体效能感。
事业部式结构的显著特点,组织产出,未知,事业部式结构的显著特点是基于组织产出的组合。
NET系统的职位信息,职位,未知,O*NET系统的职位信息包含了17个类别的职位相关特征(O*NET内容模型)
学科体系,社会保障,未知,[14]尽管一些学科可以将社会保障纳入自己的学科体系
技能清单,组织人员流动频率,未知,其技能清单中要包括所有的员工；而对于那些组织人员流动频率不高
员工专业,人员岗位,未知,4.人员岗位分类专业构成：各类员工专业分布较为分散
工伤保险,整个社会保险制度,未知,（3）工伤保险包括在整个社会保险制度之中。
外部价值观,组织成员,未知,外部价值观包含着组织成员对外部环境的判断和对应该如何处理组织与外部环境的关系的共识。
实现的薪酬总额,执行股票期权的收入,未知,世界500强企业的 CEO实现的薪酬总额（包括执行股票期权的收入）差不多达到了原来的四倍。
劳动力组织,动态环境,未知,包括劳动力组织与划分和动态环境相互作用及更为复杂的决策过程。
劳动者个人,人口年龄,未知,一国的人口规模、人口年龄构成、民族特性和劳动者个人的身体自然条件都是影响劳动供给的重要方面。
周边绩效之分,意志动机等因素,未知,又存在任务绩效和周边绩效之分；任务绩效是指工作的直接结果；周边绩效则包括人际、意志动机等因素
产量曲线,生产要素投入量,未知,等产量曲线是在技术水平不变的条件下生产同一产量的两种生产要素投入量的所有不同组合的轨迹。
人力资源开发人员,任务,未知,这样可以使人力资源开发人员对工作包含的任务和员工实际的工作条件有更清楚的认识。
发放的薪酬,薪酬,未知,②薪酬构成：表明企业发放的薪酬主要包括哪些部分。
占总报酬的比率问题,奖金比率,未知,三者的结构设计可以转换为分析可变部分占总报酬的比率问题（包括了前文提到的佣金提成比率和奖金比率）
人力资源,人力资源管理的基础活动,未知,因此由这些人力资源管理的基础活动所提供的信息就构成了人力资源获取与配置的客观依据和参照系。
固定奖金,薪酬,未知,现金薪酬的主要构成为基本工资、固定奖金、浮动薪酬以及现金津贴。
外部价值观,处理组织,未知,外部价值观包含着组织成员对外部环境的判断和对应该如何处理组织与外部环境的关系的共识。
保障行政管理的内容,具体的社会保障政策,未知,社会保障行政管理的内容包括依法制定更为具体的社会保障政策及运行规范
公司治理,员工,未知,公司治理还包括与利益者(如员工、客户、供应商、债权人和社会公众等)之间的关系
培训,工作环境,未知,该模型包括三个部分：一是培训投入（包括被培训者特征、培训设计和工作环境）
培训成果,计算机辅助教学系统,未知,培训成果转化的技术支持系统主要包括电子操作支持系统与计算机辅助教学系统。
公司级关键绩效指标,企业关键绩效指标,未知,企业关键绩效指标由以下几个层级构成：一是公司级关键绩效指标
劳动者个人,国的人口规模,未知,一国的人口规模、人口年龄构成、民族特性和劳动者个人的身体自然条件都是影响劳动供给的重要方面。
分配比例关系,薪酬制度,未知,实施这种薪酬制度必须合理安排五个组成部分之间的分配比例关系。
单独的社会保障,医疗保险统筹基金,未知,对医疗保险统筹基金纳入单独的社会保障基金财政账户专款专用
建立职工名册的对象,建立劳动关系的劳动者,未知,建立职工名册的对象包括与用人单位建立劳动关系的劳动者
中央银行的管理职责,养老基金,未知,如智利养老基金监管局和中央银行的管理职责就包括：规定养老基金管理公司的投资工具及其应占的比例
常见的沟通障碍,沟通渠道,未知,常见的沟通障碍包括沟通渠道不适当
失业保险,基本工资,未知,养老保险、医疗保险、失业保险等都是以工资（包括基本工资和各种形式的奖金
任务清单,职位,未知,(1)确定任职资格要求；由于任务清单包括了某一职位要执行的全部工作任务
