J研究所的薪酬体系,核心人才,正相关,J研究所的薪酬体系切实起到了促进组织目标达成、核心人才保留和员工满意的作用。
J研究所的薪酬体系,组织目标,正相关,J研究所的薪酬体系切实起到了促进组织目标达成、核心人才保留和员工满意的作用。
两难问题的处理方法,道德能力的提高,正相关,在两难问题的处理方法能更好地促进其道德能力的提高；道德两方面的发展在时间上是平行的
为基础的工作分析系统,关键性的工作任务,正相关,以工作任务为基础的工作分析系统有利于辨别哪些是重要的、关键性的工作任务
人体工程学,工作分析方法的发展,正相关,残疾人就业问题和人体工程学都促进了工作分析方法的发展。
人力资本,经济增长,正相关,人力资本对于促进经济增长的贡献日益突出
人力资源的开发,中欧经贸关系的进一步发展,正相关,以此通过人力资源的开发来促进中欧经贸关系的进一步发展。
人力资源管理门的宣传,考核者,正相关,以及人力资源管理门的宣传和要求来加强考核者对考核的重视和投入
人力资源规划,人力资源管理工作,正相关,2.人力资源规划有利于人力资源管理工作的开展和提升
人力资源规划,组织员工,正相关,人力资源规划有利于组织员工制定个人发展计划和实现其长期利益。
人力资源规划,组织战略,正相关,1.人力资源规划有利于组织战略、目标、愿景的实现。
使用人力资源信息系统,组织战略各步骤,正相关,使用人力资源信息系统可以促进组织战略各步骤的实施过程(参见表6-15)。
全球性生产系统的形成,全球经济的相互依赖,正相关,全球性生产系统的形成加强了全球经济的相互依赖
公正地分配收入,生产效率,正相关,重要的在于保证更加公正地分配收入与财富以促进社会正义与生产效率
劳动力流动,劳动力市场发育,正相关,劳动力流动促进了劳动力市场发育
劳资关系的全面合作,员工的安全感,正相关,而且劳资关系的全面合作也增强了员工的安全感和归属感
区域性集体合同,劳动关系,正相关,订立行业性、区域性集体合同有利于调整行业内或区域内的劳动关系。
员工,跨文化,正相关,这就要求员工或经理人在整个跨国任职的过程中不断地加强跨文化学习。
员工福利,企业的人工成本,正相关,（5）员工福利有利于节省企业的人工成本。
周边绩效,员工与组织的绩效,正相关,周边绩效管理能够促进员工与组织的绩效。
周边绩效,组织核心价值观,正相关,周边绩效管理有利于组织的长远发展和组织核心价值观的建立。
培训部门,合作伙伴关系,正相关,培训部门在未来将加强开发同外部培训人员和其他供应商的合作伙伴关系。
培训部门,员工,正相关,培训部门应该加强对员工参加各种培训开发活动的文档管理
多元化的员工,企业的长期发展,正相关,多元化的员工有利于企业的长期发展。
大的报酬,约束作用,正相关,期待更大的报酬；●有利于发挥资本市场对公司及其经营者的监督、激励和约束作用；●股票期权有多种方式
失业保险,失业者,正相关,促使失业保险向既能够促进失业者再就业又能够保障失业者基本生活的就业保障机制转化。
失业保险,就业功能,正相关,也开始注重失业保险促进就业功能的发挥。
奖金支付,绩效管理,正相关,奖金支付也成为促进绩效管理的各个环节得以有效运转的有力手段。
奖金计划,企业的经营目标,正相关,而奖金计划更有利于帮助完成企业的经营目标。
家庭津贴,社会文明的发展,正相关,养老保险与家庭津贴等有利于生育政策的实施等等；五是能够促进社会文明的发展
就业培训支出的比重,失业者,正相关,通过加大再就业培训支出的比重、建立就业导向的机制等来促进失业者再就业
工作分析,人力资源管理活动,正相关,工作分析是促进所有人力资源管理活动高效开展的核心因素。
工作分析,组织价值,正相关,工作分析是提高工作效率、增强组织价值的工具。
工作设计,人际关系,正相关,④工作设计有利于改善人际关系。
所有的人力资源活动,组织文化,正相关,确保所有的人力资源活动都产生附加值；·加强组织文化管理
技术进步,投资机会,正相关,而且认为技术进步通过促进消费和创造有利的投资机会
技能指标,素质提升,正相关,设立技能指标旨在不断地促进销售人员自身的技能提高和素质提升
技能指标,销售人员自身的技能,正相关,设立技能指标旨在不断地促进销售人员自身的技能提高和素质提升
支付促进就业保险金的目的,失业者,正相关,并有7天的等待期；支付促进就业保险金的目的是促进失业者再就业
无固定期限劳动合同,劳动者权益,正相关,无固定期限劳动合同更有利于保护劳动者权益
日本的组织管理,契约关系,正相关,而日本的组织管理则着力于加强组织与成员的契约关系及规章制度的进一步完善。
