头实体,尾实体,关系,例句
个人的奖金,个人的绩效,依据,每个人的奖金取决于个人的绩效
个人的奖金,企业的整体绩效,依据,个人的奖金取决于企业的整体绩效
个体的绩效水平,努力程度,依据,个体的绩效水平不仅取决于他的努力程度
人力资源开发经理,培训地点,依据,人力资源开发经理还必须依据企业的培训预算、培训师资、培训地点、培训时间等方面的因素进行综合考虑
人力资源开发经理,培训师,依据,人力资源开发经理还必须依据企业的培训预算、培训师资、培训地点、培训时间等方面的因素进行综合考虑
人力资源开发经理,培训时间等方面的因素,依据,人力资源开发经理还必须依据企业的培训预算、培训师资、培训地点、培训时间等方面的因素进行综合考虑
人力资源开发经理,培训预算,依据,人力资源开发经理还必须依据企业的培训预算、培训师资、培训地点、培训时间等方面的因素进行综合考虑
人力资源招聘,预测工具或效标变量,依据,预测工具或效标变量是人力资源招聘与配置工作人员进行甄选决策的依据。
人力资源数量规划,企业战略,依据,人力资源数量规划是依据企业战略对未来企业业务规模、地域分布、商业模式、业务流程和组织结构等因素
人力资源数量规划,组织结构等因素,依据,人力资源数量规划是依据企业战略对未来企业业务规模、地域分布、商业模式、业务流程和组织结构等因素
人力资源管理者,人力资源战略分析,依据,再由人力资源管理者依据人力资源战略分析、制定出来的
人力资源结构规划,业务模式,依据,人力资源结构规划是依据行业特点、企业规模、未来战略重点发育的业务及业务模式
人力资源结构规划,企业规模,依据,人力资源结构规划是依据行业特点、企业规模、未来战略重点发育的业务及业务模式
人力资源结构规划,未来战略,依据,人力资源结构规划是依据行业特点、企业规模、未来战略重点发育的业务及业务模式
企业凝聚力的强弱,企业家的道德人格魅力,依据,企业凝聚力的强弱在很大程度上取决于企业家的道德人格魅力。
企业战略,人力资本,依据,企业战略扩张越来越多地取决于人力资本驱动
企业战略目标的实现,团队协作,依据,企业战略目标的实现越来越依赖于其对市场的快速响应能力和团队协作
企业战略目标的实现,市场的快速响应能力,依据,企业战略目标的实现越来越依赖于其对市场的快速响应能力和团队协作
企业的竞争优势,人力资本——知识,依据,企业的竞争优势将依赖于人力资本——知识、经验、技能等“软”资本
企业的竞争优势,员工的素质,依据,其原因在于企业的竞争优势越来越取决于组织和员工的素质与学习能力。
企业的薪酬体系,市场资料,依据,当企业的薪酬体系更依赖于外部市场资料时
企业薪酬体系设计,薪酬理念,依据,并据此确立企业的薪酬理念；薪酬理念是企业薪酬体系设计的依据
保险金待遇,个人退休账户积累额,依据,保险金待遇主要取决于个人退休账户积累额及投资收益状况。
信度系数,测量系统的目的,依据,然而一个信度系数能够被采用的底线确实依赖于使用该测量系统的目的。
公司支付能力,公司的盈利能力,依据,公司支付能力在很大程度上取决于公司的盈利能力。
划分职位等级,得到的职位评价,依据,划分职位等级的依据是通过职位评价得到的职位评价点值。
发展战略目标的实现,组织结构的有效设置,依据,组织发展战略目标的实现取决于组织结构的有效设置。
可持续竞争优势,能力,依据,可持续竞争优势依赖于独特的资源和能力
合适的招聘技术,工作说明书的实际情况,依据,合适的招聘技术依赖于工作说明书的实际情况。
员工,员工的职位,依据,对员工进行评价的依据员工的职位内容
员工,胜任力特点,依据,员工从此能够依据自身的胜任力特点
员工的收入,员工对企业的贡献,依据,5.基于业绩与能力的薪酬分配系统：员工的收入直接取决于员工对企业的贡献
培训人员,组织环境,依据,培训人员必须依据组织环境寻找真正的组织问题
培训内容,培训与开发的项目目标,依据,（1）培训与开发的项目目标是确定培训内容与培训方法的基本依据。
培训开发活动效果,培训与开发的项目目标,依据,（2）培训与开发的项目目标是对培训开发活动效果进行评估的主要依据。
培训开发的力度,人力资源现状,依据,这种培训开发的力度取决于其人力资源现状与企业未来战略对人才素质要求的差距有多大；当然
培训成果,培训任务,依据,培训成果转化取决于培训任务、材料、设备和其他学习环境与工作环境的相似性。
培训成果,学习环境,依据,培训成果转化取决于培训任务、材料、设备和其他学习环境与工作环境的相似性。
培训效果的好坏,整个培训项目的设计,依据,培训效果的好坏取决于整个培训项目的设计和安排。
基本工资,员工从业经验,依据,基本工资的确定主要依据市场供需量、岗位对公司效益产生的重要性、员工从业经验和学历水平
基本工资,学历水平,依据,基本工资的确定主要依据市场供需量、岗位对公司效益产生的重要性、员工从业经验和学历水平
基本工资,岗位,依据,基本工资的确定主要依据市场供需量、岗位对公司效益产生的重要性、员工从业经验和学历水平
基本工资,市场供需量,依据,基本工资的确定主要依据市场供需量、岗位对公司效益产生的重要性、员工从业经验和学历水平
外包服务商,评价指标,依据,该评价指标一方面可以作为企业评选外包服务商的依据
奖励薪酬,企业年终的经济效益,依据,奖励薪酬应视企业年终的经济效益而定。
奖金,员工个人业绩,依据,而个人奖励则是根据员工个人业绩作为奖金发放依据。
奖金,奖励措施,依据,记功3次相当于记大功一次；这些奖励措施通常可以作为绩效加分或增发奖金的依据或者晋升参考
奖金,惩罚措施,依据,这种惩罚措施也可以作为减发奖金的依据；(2)降级：即降低受惩罚者的薪酬等级
奖金发放,员工个人的工作业绩,依据,主要是根据员工个人的工作业绩来作为奖金发放的依据。
奖金发放,组织奖励,依据,组织奖励是根据组织整体业绩来确定奖金发放的依据和标准；因此
奖金数额,员工,依据,奖金数额依据员工超过标准绩效的多少而支付
好的顾客服务,人际关系质量,依据,(6)顾客服务；好的顾客服务也取决于人际关系质量
实际工资率的确定,劳资谈判双方的力量,依据,实际工资率的确定将取决于劳资谈判双方的力量对比。
岗位工资标准,反映的工作内容,依据,岗位工资标准应依据工作说明书中所反映的工作内容
岗位需求,职位说明书,依据,①定义岗位需求：这个环节主要是依据职位说明书或人力资源规划的内容
工作分析人员的数量,任务,依据,而工作分析人员的数量和专业知识、经验结构则视工作分析的目的、任务、工作量而定。
工作分析人员的数量,工作分析的目的,依据,而工作分析人员的数量和专业知识、经验结构则视工作分析的目的、任务、工作量而定。
工作分析的内容,工作分析的目的,依据,工作分析的内容取决于工作分析的目的与用途
工作时数,收入效应的相对强度,依据,工作时数实际上是增加还是减少依赖于替代效应与收入效应的相对强度或大小。
工作群体,资源条件,依据,一个工作群体所能做的事情在很大程度上取决于其资源条件的充足与否。
工作职责描述,绩效评估,依据,绩效评估又是以工作职责描述为核心依据的
工作说明书,同样的工作分析,依据,虽然工作说明书和测试都依赖于同样的工作分析和数据
巨大成功的企业家,有限资源条件下,依据,凡是获得巨大成功的企业家都依赖于有限资源条件下的有限决策
市场上,企业的财力,依据,企业的薪酬标准在市场上应该处于一个什么位置要视企业的财力、所需要人才的可获得性等具体条件而定
市场导向,业绩考评,依据,市场导向；·以企业战略、职务分析与业绩考评为依据；·以法律和契约为基础；
市场导向,企业战略,依据,市场导向；·以企业战略、职务分析与业绩考评为依据；·以法律和契约为基础；
年功序列制,员工的工龄,依据,实行年功序列制的依据是：员工的工龄越长
建立工资范围时,市场工资,依据,建立工资范围时会依据事先已确定的每一工资等级的市场工资。
开发职能的完成,人力资源开发部门,依据,人力资源开发职能的完成将依赖于一个精简、高效的人力资源开发部门的组织结构。
心理测验,评判标准,依据,才能使心理测验有一些相对固定的出发点、依据、程序、工具手段和评判标准
成功的监护模式,经济来源,依据,一个成功的监护模式依赖于经济来源。
我国职业的现状,国家职业分类,依据,体现我国职业的现状与发展趋势；以国家标准——《国家职业分类和代码》为依据
报酬要素的选择,组织的战略导向,依据,因为报酬要素的选择取决于职位本身和组织的战略导向。
报酬要素的选择,职位,依据,因为报酬要素的选择取决于职位本身和组织的战略导向。
招聘,工作分析中的岗位关键职责,依据,(1)为招聘提供依据；通过工作分析中的岗位关键职责
招聘,招聘计划,依据,招聘计划是招聘的主要依据
搜寻的时间长度,工资分布频率之间,依据,搜寻的时间长度取决于最低可接受工资水平与企业提供的工资分布频率之间的联系。
支付方式,伤残程度,依据,支付方式视伤残程度而定
支持组织,组织人力资源实务的悉心设计,依据,支持组织规范的创造取决于组织人力资源实务的悉心设计。
收入政策曲线,公司支付战略,依据,③收入政策曲线取决于市场工资率和公司支付战略。
有效的管理幅度,影响因素,依据,有效的管理幅度要取决于各种影响因素。
测评与选拔主体,价值标准,依据,但作为测评与选拔主体依据的考评价值标准与选择的考评内容却又是抽象与无形的主观形式。
测评目标,职位的要求,依据,测评目标确定主要依据测评的目的与工作职位的要求。
现有或预期的人力资源,劳动力市场的结构,依据,企业的人员结构、人员素质水平、工作结构、现有或预期的人力资源最终取决于劳动力市场的结构和作用。
目标体系,企业的战略,依据,确立目标体系的主要依据是企业的战略
相关劳动力市场的界定,薪酬调查,依据,相关劳动力市场的界定取决于薪酬调查的目的。
社会保障制度,法制规范,依据,法制规范是社会保障制度赖以建立的客观基础与依据。
社会保障制度,社会保障体系,依据,社会保障体系有无漏洞通常是衡量社会保障制度完备与否的基本依据。
社会保障项目,社会保障法律,依据,以社会保障法律作为实施社会保障项目的依据
社会成员,安全保障,依据,但制度化的社会保障让社会成员依赖一种制度来获得安全保障
社会救助,法律规定,依据,社会救助是指国家和社会依据法律规定
社会福利的项目,国家的经济文化,依据,社会福利的项目、范围和水平取决于各个国家的经济文化发展水平和受益者的需求程度。
竞业限制,工作职责描述,依据,商业秘密和竞业限制的设定均须依据工作职责描述而进行。
管理者的能力,群体的工作环境,依据,管理者的能力取决于群体的工作环境、领导者的风格和个性以及领导方法对群体的适合程度。
管理者的能力,领导方法,依据,管理者的能力取决于群体的工作环境、领导者的风格和个性以及领导方法对群体的适合程度。
组织奖励,指标库中,依据,从这个指标库中提炼出少数几个对企业成功至关重要的关键性指标来作为组织奖励的依据。
组织成员思想,企业文化,依据,企业文化是组织成员思想、行为的依据
组织战略目标的贡献,人力资本存量,依据,它对组织战略目标的贡献不仅取决于人力资本存量
经营者奖励,经济增加值,依据,越来越多的企业集团采用经济增加值作为下属子公司业绩评估和经营者奖励的依据。
绩效奖金,员工个人的绩效,依据,绩效奖金是企业依据员工个人的绩效评价结果
绩效的薪酬,员工,依据,先于绩效的薪酬支付是依据职位价值和员工本身所拥有的能力
绩效的薪酬,职位价值,依据,先于绩效的薪酬支付是依据职位价值和员工本身所拥有的能力
