Janus绩效管理系统,参考库,包含,并且把它们作为一个参考库纳入Janus绩效管理系统之中。
NET数据搜集项目,评定量表,包含,向这些员工发放四份标准化问卷搜集数据；O*NET数据搜集项目中包含数百个评定量表
上规模的招聘,不同学历,包含,上规模的招聘一般在10～35人之间（包括不同学历、工作经验等）。
上述四大能力维度,具体的能力要素,包含,在上述四大能力维度下包括以下具体的能力要素。
不同的人力资源管理战略,薪酬战略,包含,Gerge T.Milkovich认为不同的人力资源管理战略（包括薪酬战略）要适应不同的企业战略
不定时工时制,弹性工作的员工,包含,北京和长沙的不定时工时制似乎包括了弹性工作的员工。
专业序列的通用能力,分析能力,包含,这个专业序列的通用能力包括沟通表达能力、逻辑分析能力、协调推进能力
专业序列的通用能力,推进能力,包含,这个专业序列的通用能力包括沟通表达能力、逻辑分析能力、协调推进能力
专业序列的通用能力,沟通表达能力,包含,这个专业序列的通用能力包括沟通表达能力、逻辑分析能力、协调推进能力
业务战略,产品领域内的竞争方式,包含,（2）业务战略（Business Strategy）：包括产业选择及在产品领域内的竞争方式选择
个人收入,劳动报酬,包含,个人收入不仅包括劳动报酬
个人收入,劳动收入,包含,由于个人收入包括劳动收入和非劳动收入
个人收入,非劳动收入,包含,由于个人收入包括劳动收入和非劳动收入
个人的职业生涯,确定的职业,包含,必须获得一个确定的职业或是达到某种社会地位才能构成一个人的职业生涯。
个人的职业生涯,社会地位,包含,必须获得一个确定的职业或是达到某种社会地位才能构成一个人的职业生涯。
中国的退休养老制度,一般退休制度,包含,并与一般退休制度一起构成了中国的退休养老制度。
中国管理,人力资源管理,包含,加速中国管理包括人力资源管理与国际接轨的进程
主持人的职责,整个TTA分析过程,包含,主持人的职责包括主持整个TTA分析过程
主要的竞争策略,差异化策略,包含,主要的竞争策略包括总成本领先策略、差异化策略和集中化经营策略。
主要的竞争策略,集中化经营策略,包含,主要的竞争策略包括总成本领先策略、差异化策略和集中化经营策略。
主要责任主体,公司的高层管理者,包含,参与人力资源管理的主要责任主体包括：公司的高层管理者、直线管理人员、人力资源部和公司的每一位员工
主要责任主体,员工,包含,参与人力资源管理的主要责任主体包括：公司的高层管理者、直线管理人员、人力资源部和公司的每一位员工
人力资本倾向,人力资源制度反馈性,包含,[5]人力资源制度反馈性审计有时会部分地纳入人力资本倾向审计之中；[6]流程的定义是非常多的
人力资本倾向,总体的员工满意度审计,包含,但人力资本倾向审计不仅包括总体的员工满意度审计
人力资本投资,直接成本,包含,由直接成本以及机会成本构成的人力资本投资。
人力资本结构,成就动机等素质结构,包含,但人力资本结构还包括职位、部门等工作特征结构与影响力、成就动机等素质结构。
人力资本结构,职位,包含,但人力资本结构还包括职位、部门等工作特征结构与影响力、成就动机等素质结构。
人力资本结构,部门等工作特征结构,包含,但人力资本结构还包括职位、部门等工作特征结构与影响力、成就动机等素质结构。
人力资源内部规则,人力资源制度,包含,人力资源内部规则可以被定义为包括两个方面：人力资源制度和人力资源流程。
人力资源内部规则,人力资源流程,包含,人力资源内部规则可以被定义为包括两个方面：人力资源制度和人力资源流程。
人力资源审计,人力资源法律审计,包含,人力资源法律审计只是人力资源审计的组成部分之一
人力资源审计,公司治理,包含,人力资源治理要像公司治理一样纳入人力资源审计的范畴之内。
人力资源开发,培训,包含,人力资源开发包括培训与开发、职业开发与组织发展。
人力资源开发,培训以外的活动,包含,人力资源开发包括许多培训以外的活动
人力资源开发,职业开发,包含,人力资源开发包括培训与开发、职业开发与组织发展。
人力资源战略规划,人力资源数量规划,包含,人力资源战略规划包括三个方面：人力资源数量规划、人力资源结构规划、人力资源素质规划。
人力资源战略规划,人力资源素质规划,包含,人力资源战略规划包括三个方面：人力资源数量规划、人力资源结构规划、人力资源素质规划。
人力资源战略规划,人力资源结构规划,包含,人力资源战略规划包括三个方面：人力资源数量规划、人力资源结构规划、人力资源素质规划。
人力资源战略规划的一般内容,企业发展战略,包含,人力资源战略规划的一般内容包括以下几个方面：(1)理解企业发展战略及策略目标体系
人力资源管理,人员的招聘,包含,人力资源管理包括各种涉及所有类型人员的招聘、雇佣、培训、开发和报酬等各种活动。
人力资源管理,培训,包含,人力资源管理包括各种涉及所有类型人员的招聘、雇佣、培训、开发和报酬等各种活动。
人力资源管理,工作任务,包含,人力资源管理主要包括选人、用人、育人、激励人、留人等内容和工作任务。
人力资源管理,报酬,包含,人力资源管理包括各种涉及所有类型人员的招聘、雇佣、培训、开发和报酬等各种活动。
人力资源管理,组织设计的成分,包含,人力资源管理内容中也就必然的包含了组织设计的成分
人力资源管理体系,培训,包含,人力资源管理体系主要包括招聘、培训、薪酬、绩效等多个模块。
人力资源管理体系,招聘,包含,人力资源管理体系主要包括招聘、培训、薪酬、绩效等多个模块。
人力资源管理体系,薪酬,包含,人力资源管理体系主要包括招聘、培训、薪酬、绩效等多个模块。
人力资源管理实践,报酬,包含,这些人力资源管理实践所包括的领域有：人员配备、开发、报酬、组织设计以及沟通等。
人力资源管理实践,组织设计,包含,这些人力资源管理实践所包括的领域有：人员配备、开发、报酬、组织设计以及沟通等。
人力资源管理框架,组织建设,包含,将组织建设纳入人力资源管理框架中
人力资源管理系统,绩效考核,包含,（2）绩效考核是人力资源管理系统的组成部分
人员系统,动机,包含,人员系统应该包括很多方面:认知能力、动机、职业价值观与兴趣等。
人员系统,职业价值观,包含,人员系统应该包括很多方面:认知能力、动机、职业价值观与兴趣等。
人员系统,认知能力,包含,人员系统应该包括很多方面:认知能力、动机、职业价值观与兴趣等。
人格系统,动机,包含,人格系统包括动机和角色扮演技巧
人的外显行为,非语言行为,包含,人的外显行为包括语言行为与非语言行为
人的认知能力,推理能力,包含,人的认知能力包括三个维度：语言理解能力、数量能力和推理能力。
人的认知能力,数量能力,包含,人的认知能力包括三个维度：语言理解能力、数量能力和推理能力。
人的认知能力,理解能力,包含,人的认知能力包括三个维度：语言理解能力、数量能力和推理能力。
价值观,内容属性,包含,价值观包括内容属性和强度属性。
价值观,强度属性,包含,价值观包括内容属性和强度属性。
任务,完成任务的具体步骤,包含,专家将这四项任务分解成完成任务的具体步骤。
任务描述,任务主体,包含,任务描述应包括以下内容：(1)任务主体
任职资格,重要的报酬要素,包含,任职资格包含着大量重要的报酬要素
企业人力资源管理,培训,包含,企业人力资源管理实践包括招聘、培训、工作设计、考核、薪酬等一系列活动
企业人力资源管理,工作设计,包含,企业人力资源管理实践包括招聘、培训、工作设计、考核、薪酬等一系列活动
企业人力资源管理,招聘,包含,企业人力资源管理实践包括招聘、培训、工作设计、考核、薪酬等一系列活动
