头实体,尾实体,关系,例句
人体工程学,工作分析方法的发展,正相关,另一方面，残疾人就业问题和人体工程学都促进了工作分析方法的发展。
人才招募网站,网络招募的针对性,正相关,目前，各类人才招募网站都具备了快捷搜索、条件搜索功能，进一步加强了网络招募的针对性。
企业年金,企业凝聚力,正相关,（4）企业年金是提高劳动生产率和增强企业凝聚力的重要手段。
企业能力理论,“动态能力”战略观,正相关,而企业能力理论与演化经济学相结合，促进了“动态能力”战略观的出现和发展。
信度系数,信度,正相关,信度系数是衡量信度大小的指标，信度系数越大，说明信度越高，亦即测评与选拔的可靠程度越高。
信度系数,测评信度,正相关,数据分布范围越大，变异程度越高，相关系数越大，即信度系数越大，从而测评信度越高。
公共就业服务系统,劳动力市场供求匹配,正相关,公共就业服务系统在发达国家已经相当成熟，并且在促进劳动力市场供求匹配方面效果显著。
动态的职业生涯,员工职业化水平,正相关,企业通过动态的职业生涯发展机制来促进员工职业能力持续增强，提升员工职业化水平(见图9-3)。
劳动人口,消费需求,正相关,因为伴随着劳动人口的增加，消费需求也增加了。
劳资关系的全面合作,员工对企业的忠诚度,正相关,而且劳资关系的全面合作也增强了员工的安全感和归属感，提高了员工对企业的忠诚度。
支付的薪酬,成本支出,正相关,在人数不变的情况下，给员工支付的薪酬越高，其成本支出就越大。
员工福利,企业的人工成本,正相关,（5）员工福利有利于节省企业的人工成本。
员工福利,知识型企业核心能力,正相关,员工福利可以使企业获得人才竞争优势、低成本优势并且特别能促进知识型企业核心能力的增加。
周边绩效管理,组织核心价值观,正相关,第四，周边绩效管理有利于组织的长远发展和组织核心价值观的建立。
培训与开发项目,受训者,正相关,（3）明确的培训与开发项目目标有利于引导受训者集中精力完成培训与学习任务。
培训环境,培训成果,正相关,也就是说，培训环境和工作环境完全吻合，这样很有利于飞行员培训成果在实际工作中的应用。
奖金支付,绩效管理,正相关,同时，奖金支付也成为促进绩效管理的各个环节得以有效运转的有力手段。
小单元内的目标责任,个人绩效计划的设定,正相关,团队这种形式的采用使得小单元内的目标责任更加明确和具体，这也更有利于个人绩效计划的设定。
工作分析,人力资源管理活动,正相关,可以说，工作分析是促进所有人力资源管理活动高效开展的核心因素。
工作分析,组织价值的工具,正相关,从组织角度说，工作分析是提高工作效率、增强组织价值的工具。
工作行为的难度,工作者职能等级,正相关,工作行为的难度越大，所需的能力越高，也就说明了工作者职能等级越高。
工作设计,人际关系,正相关,④工作设计有利于改善人际关系。
总成本中劳动成本,劳动需求的工资弹性,正相关,如果总成本中劳动成本所占的比例越高，那么，劳动需求的工资弹性就越大。
战略方向,企业的长远发展,正相关,这与一般企业通常关注业绩有很大的差别，特别突出了战略方向，有利于实现企业的长远发展。
人才,企业竞争力,正相关,招聘到合适的人才是保证员工素质，增强企业竞争力的关键。
收入要求,劳动力参与率,正相关,不论男女，所有人就业机会越大，收入要求越高，则劳动力参与率也越高。
无固定期限劳动合同,保护劳动者,正相关,与固定期限劳动合同相比，无固定期限劳动合同更有利于保护劳动者权益，更有利于保护劳动者就业稳定。
日本的组织管理,成员的契约关系,正相关,而日本的组织管理则着力于加强组织与成员的契约关系及规章制度的进一步完善。
星光计划,老年人福利事业,正相关,实施“星光计划”，是应对人口老龄化挑战，提高老年人生活质量，促进老年人福利事业发展的重大举措。
测量系统的长度,信度,正相关,一般而言，测量系统的长度越高，其信度就越高。
特定的模拟环境,培训效果,正相关,（2）特定的模拟环境和主题有利于增强培训效果；
福利,员工之间的合作,正相关,所以，对于一个团队来说，福利更加能够促进员工之间的合作，构造和谐的氛围。
福利管理,人力资源管理,正相关,福利管理越人性化，越能增加广大员工的凝聚力，进而就越有利于人力资源管理核心目标的实现。
积极的工作关系,员工的自尊,正相关,如今的管理者必须培养积极的工作关系以加强员工的自尊。
管理者职位,胜任能力,正相关,管理者职位越高，业务胜任能力要求越高，反之则越低。
精神奖励,员工,正相关,许多事实证明精神奖励比物质奖励更能促进员工作出成绩，是一种更巧妙、更灵活的方式。
组织发展,员工满意度,正相关,（3）组织发展是通过有计划的干预来增强组织的有效性和员工满意度的。
组织发展,组织运行的有效性,正相关,（1）组织发展可以增强组织运行的有效性。
沟通制度,组织沟通,正相关,对于组织管理者来说，设计和建立一个有效的沟通制度是促进组织沟通的有为之举。
绩效反馈,企业的核心竞争力,正相关,（3）绩效反馈可以排除目标冲突，有利于增强企业的核心竞争力。
绩效管理,员工发展,正相关,从这一点出发我们也可以这样认为：绩效管理是一种为促进员工发展而进行的人力资本投资。
绩效管理,员工的发展,正相关,6.绩效管理可以促进员工的发展
绩效管理,质量管理,正相关,2.绩效管理可以有效地促进质量管理
薪酬调查,企业薪酬决策的针对性,正相关,薪酬调查还能使企业了解竞争对手的薪酬策略，增强企业薪酬决策的针对性。
一裁终局制度,劳动争议仲裁的权威性,正相关,一裁终局制度有利于提升劳动争议处理工作效率，减轻当事人负担，提高劳动争议仲裁的权威性和法律效力。
跨文化的国际化专家,国际竞争实力,正相关,通过这种制度，三星培养了几千名跨文化的国际化专家，从而进一步增强了其国际竞争实力。
随意的沟通方式,员工之间的信任,正相关,看似随意的沟通方式，却能促进员工之间的信任，在谈笑间解决了问题。
雇佣关系的稳定性,员工对企业的归属感,正相关,这种雇佣关系的稳定性促进了员工对企业的归属感和忠诚心。
信度系数,信度,正相关,信度系数是衡量信度大小的指标，信度系数越大，说明信度越高，亦即测评与选拔的可靠程度越高。
信度系数,测评信度,正相关,数据分布范围越大，变异程度越高，相关系数越大，即信度系数越大，从而测评信度越高。
劳动人口,消费需求,正相关,因为伴随着劳动人口的增加，消费需求也增加了。
工作行为的难度,职能等级,正相关,工作行为的难度越大，所需的能力越高，也就说明了工作者职能等级越高。
总成本中劳动成本,劳动需求的工资弹性,正相关,如果总成本中劳动成本所占的比例越高，那么，劳动需求的工资弹性就越大。
支付的薪酬,成本支出,正相关,在人数不变的情况下，给员工支付的薪酬越高，其成本支出就越大。
收入要求,劳动力参与率,正相关,不论男女，所有人就业机会越大，收入要求越高，则劳动力参与率也越高。
测量系统的长度,信度,正相关,一般而言，测量系统的长度越高，其信度就越高。
管理者职位,胜任能力,正相关,管理者职位越高，业务胜任能力要求越高，反之则越低。
能力差距,浮动幅度,正相关,能力差距越大，任职者所须付出的努力越大，浮动幅度就越大。
能力跨度,薪酬区间,正相关,能力跨度越大，向上晋升所需的时间越长，薪酬区间就应当越大。
薪酬水平,劳动力成本,正相关,在其他条件相同的情况下，薪酬水平越高，劳动力成本就越高。
