头实体,尾实体,关系,例句
交易费用,交易成本,等价,交易费用（又称交易成本）是市场机制的运行成本
企业年金,承办的年金计划,等价,企业年金（又称职业年金、企业补充养老金、超级年金、私人养老金计划、雇主承办的年金计划等）
企业年金,私人养老金计划,等价,企业年金（又称职业年金、企业补充养老金、超级年金、私人养老金计划、雇主承办的年金计划等）
企业年金,职业年金,等价,企业年金（又称职业年金、企业补充养老金、超级年金、私人养老金计划、雇主承办的年金计划等）
企业年金,补充养老金,等价,企业年金（又称职业年金、企业补充养老金、超级年金、私人养老金计划、雇主承办的年金计划等）
企业年金,超级年金,等价,企业年金（又称职业年金、企业补充养老金、超级年金、私人养老金计划、雇主承办的年金计划等）
图尺度评价法,等级评价法,等价,图尺度评价法也可以称之为等级评价法
基本劳动标准,核心劳动标准,等价,有8个“基本劳动标准”(又称核心劳动标准)是不论成员国经济发展水平如何
工作环境,劳动环境测定,等价,工作环境测定又称劳动环境测定
文化人类学,社会人类学,等价,它分析体质人类学、文化人类学(又称社会人类学)和考古学。
文化过程,文化变迁过程,等价,而文化过程又称“文化变迁过程”（Culture Process)
晕轮效应,光环效应,等价,(4)晕轮效应；晕轮效应又称光环效应
权变理论,情境理论,等价,权变理论又称情境理论
核心竞争力,核心能力,等价,核心竞争力（Core Competence）又称核心能力
结构化面试,标准化面试,等价,结构化面试(Structured Interview)又称结构化面谈或标准化面试
结构效度,构思效度,等价,结构效度又称作构想效度、构思效度、建构效度等
结构效度,构想效度,等价,结构效度又称作构想效度、构思效度、建构效度等
绩效工资,绩效调薪,等价,绩效工资又称绩效调薪
职业发展,职业生涯规划,等价,职业发展又称职业生涯规划
职位评价,职位评估,等价,职位评价又称职位评估
行为事件访谈法,关键事件访谈法,等价,1.行为事件访谈法(又称“关键事件访谈法”)的优劣
弹性福利计划,自助餐式的福利计划,等价,20世纪70年代诞生的弹性福利计划又称“自助餐式的福利计划”
趋势外推法,时间序列预测法,等价,趋势外推法又称时间序列预测法。
跨文化管理,交叉文化管理,等价,跨文化管理又称交叉文化管理
