头实体，尾实体,关系
人力资源,人力资源环境与策略,包含
人力资源环境与策略,人力资源策略,包含
人力资源策略,人力资源政策与哲学,包含
人力资源政策与哲学,人力资源管理,包含
人力资源政策与哲学,人力资源管理目标,包含
人力资源政策与哲学,人力资源管理职责,包含
人力资源政策与哲学,人力资源管理任务,包含
人力资源政策与哲学,战略性人力资源管理,包含
人力资源政策与哲学,人力资源政策,包含
人力资源政策与哲学,人力资源哲学,包含
人力资源政策与哲学,精神契约,包含
人力资源政策与哲学,企业认同感,包含
人力资源策略,组织：行为与文化,包含
组织：行为与文化,正式组织,包含
组织：行为与文化,非正式组织,包含
组织：行为与文化,组织文化,包含
组织：行为与文化,亚文化,包含
组织：行为与文化,跨文化,包含
组织：行为与文化,价值观,包含
组织：行为与文化,态度,包含
组织：行为与文化,角色行为,包含
组织：行为与文化,个人主义—集体主义,包含
组织：行为与文化,不确定性规避,包含
组织：行为与文化,权力距离,包含
组织：行为与文化,直线和职能职权,包含
人力资源策略,激励与组织绩效,包含
激励与组织绩效,激励,包含
激励与组织绩效,需要层次理论,包含
激励与组织绩效,X理论与Y理论,包含
激励与组织绩效,组织体系Ⅰ与组织体系Ⅳ,包含
激励与组织绩效,激励-保健理论,包含
激励与组织绩效,ERG理论,包含
激励与组织绩效,麦克莱兰德需要理论,包含
激励与组织绩效,期望理论,包含
激励与组织绩效,公平理论,包含
激励与组织绩效,强化理论,包含
激励与组织绩效,波特-劳勒期望机率理论,包含
人力资源环境与策略,人力资源环境,包含
人力资源环境,人力资源法律环境,包含
人力资源法律环境,公平就业机会,包含
人力资源法律环境,公平就业机会委员会,包含
人力资源法律环境,实际职业资格,包含
人力资源法律环境,经营必需,包含
人力资源法律环境,反优先雇佣行动,包含
人力资源法律环境,善意势力战略,包含
人力资源法律环境,定额战略,包含
人力资源法律环境,差别性对待,包含
人力资源法律环境,差别性影响,包含
人力资源法律环境,性骚扰,包含
人力资源环境,内部和外部环境,包含
内部和外部环境,人力资源环境外部环境,包含
内部和外部环境,劳动力市场,包含
内部和外部环境,社会责任,包含
内部和外部环境,组织重组,包含
内部和外部环境,管理多样化,包含
内部和外部环境,人力资源内部环境,包含
内部和外部环境,玻璃天花板,包含
